Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Fire-Boltt,"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Dark Grey)",4.0 out of 5 stars,"49,216","₹1,699","₹12,499",(86% off)
Fire-Boltt,"Fire-Boltt Ninja Call Pro Max Smart Watch 2.01 inch Display, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Blue)",3.9 out of 5 stars,"43,759","₹1,299","₹14,999",(91% off)
Fire-Boltt,"Fire-Boltt Dominian 36.3mm (1.43 inch) AMOLED Display, Stainless Steel Design, 466 * 466 px Resolution, Bluetooth Calling, Multiple Sports Modes, Health Mode, IP67, Weather Updates (Gold)",4.0 out of 5 stars,897,"₹2,299","₹21,000",(89% off)
Noise,"Noise Newly Launched Halo 2 Smart Watch 1st Ever Functional Rotating Dial (Axe-Cut Bezel), 1.43"" AMOLED, Stainless Steel Build, Custom Transition Effects, BT Calling, Health Suite (Elite Silver)",3.8 out of 5 stars,363,"₹4,999","₹6,999",(29% off)
boAt,"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Active Black)",4.0 out of 5 stars,"21,478","₹1,399","₹8,499",(84% off)
Titan,Karishma Analog Black Dial Men's Watch NM1639SM02/NN1639SM02,4.2 out of 5 stars,"2,135","₹1,795","₹1,995",(10% off)
TIMEWEAR,Analog Day Date Functioning Stainless Steel Chain Watch for Men,3.8 out of 5 stars,"13,888",₹319,"₹1,799",(82% off)
Casio,"Stainless Steel Men Vintage Digital Grey Dial Unisex A-158Wa-1Q (D011), Band Color-Silver",4.4 out of 5 stars,"46,227","₹1,695",na,na
boAt,"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Brown)",4.0 out of 5 stars,"21,478","₹1,499","₹8,499",(82% off)
Noise,"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Elite Black)",4.0 out of 5 stars,"15,665","₹1,799","₹5,999",(70% off)
